020  01694 |Loss: 0.499 | Acc: 81.000% 
020  01695 |Loss: 0.498 | Acc: 81.000% 
020  01696 |Loss: 0.497 | Acc: 81.000% 
020  01697 |Loss: 0.498 | Acc: 81.000% 
020  01698 |Loss: 0.499 | Acc: 81.000% 
020  01699 |Loss: 0.501 | Acc: 81.000% 
020  01700 |Loss: 0.501 | Acc: 81.000% 
020  01701 |Loss: 0.501 | Acc: 81.000% 
020  01702 |Loss: 0.504 | Acc: 80.000% 
020  01703 |Loss: 0.507 | Acc: 80.000% 
020  01704 |Loss: 0.505 | Acc: 80.000% 
020  01705 |Loss: 0.502 | Acc: 80.000% 
020  01706 |Loss: 0.501 | Acc: 81.000% 
020  01707 |Loss: 0.500 | Acc: 81.000% 
020  01708 |Loss: 0.501 | Acc: 80.000% 
020  01709 |Loss: 0.502 | Acc: 80.000% 
020  01710 |Loss: 0.502 | Acc: 80.000% 
020  01711 |Loss: 0.502 | Acc: 81.000% 
020  01712 |Loss: 0.502 | Acc: 81.000% 
020  01713 |Loss: 0.501 | Acc: 81.000% 
020  01714 |Loss: 0.502 | Acc: 81.000% 
020  01715 |Loss: 0.500 | Acc: 81.000% 
020  01716 |Loss: 0.500 | Acc: 81.000% 
020  01717 |Loss: 0.499 | Acc: 81.000% 
020  01718 |Loss: 0.496 | Acc: 81.000% 
020  01719 |Loss: 0.495 | Acc: 81.000% 
020  01720 |Loss: 0.495 | Acc: 81.000% 
021  01721 |Loss: 0.635 | Acc: 84.000% 
021  01722 |Loss: 0.526 | Acc: 81.000% 
021  01723 |Loss: 0.522 | Acc: 78.000% 
021  01724 |Loss: 0.514 | Acc: 79.000% 
021  01725 |Loss: 0.511 | Acc: 80.000% 
021  01726 |Loss: 0.504 | Acc: 79.000% 
021  01727 |Loss: 0.474 | Acc: 82.000% 
021  01728 |Loss: 0.466 | Acc: 82.000% 
021  01729 |Loss: 0.461 | Acc: 81.000% 
021  01730 |Loss: 0.466 | Acc: 81.000% 
021  01731 |Loss: 0.458 | Acc: 81.000% 
021  01732 |Loss: 0.462 | Acc: 81.000% 
021  01733 |Loss: 0.456 | Acc: 82.000% 
021  01734 |Loss: 0.459 | Acc: 82.000% 
021  01735 |Loss: 0.462 | Acc: 82.000% 
021  01736 |Loss: 0.461 | Acc: 82.000% 
021  01737 |Loss: 0.471 | Acc: 82.000% 
021  01738 |Loss: 0.468 | Acc: 82.000% 
021  01739 |Loss: 0.467 | Acc: 82.000% 
021  01740 |Loss: 0.472 | Acc: 81.000% 
021  01741 |Loss: 0.479 | Acc: 81.000% 
021  01742 |Loss: 0.484 | Acc: 81.000% 
021  01743 |Loss: 0.479 | Acc: 81.000% 
021  01744 |Loss: 0.472 | Acc: 81.000% 
021  01745 |Loss: 0.483 | Acc: 81.000% 
021  01746 |Loss: 0.475 | Acc: 81.000% 
021  01747 |Loss: 0.474 | Acc: 81.000% 
021  01748 |Loss: 0.476 | Acc: 81.000% 
021  01749 |Loss: 0.478 | Acc: 81.000% 
021  01750 |Loss: 0.472 | Acc: 82.000% 
021  01751 |Loss: 0.471 | Acc: 81.000% 
021  01752 |Loss: 0.474 | Acc: 81.000% 
021  01753 |Loss: 0.472 | Acc: 81.000% 
021  01754 |Loss: 0.470 | Acc: 81.000% 
021  01755 |Loss: 0.469 | Acc: 81.000% 
021  01756 |Loss: 0.474 | Acc: 81.000% 
021  01757 |Loss: 0.474 | Acc: 81.000% 
021  01758 |Loss: 0.475 | Acc: 81.000% 
021  01759 |Loss: 0.472 | Acc: 81.000% 
021  01760 |Loss: 0.468 | Acc: 82.000% 
021  01761 |Loss: 0.468 | Acc: 82.000% 
021  01762 |Loss: 0.465 | Acc: 82.000% 
021  01763 |Loss: 0.464 | Acc: 82.000% 
021  01764 |Loss: 0.467 | Acc: 82.000% 
021  01765 |Loss: 0.470 | Acc: 81.000% 
021  01766 |Loss: 0.475 | Acc: 81.000% 
021  01767 |Loss: 0.475 | Acc: 81.000% 
021  01768 |Loss: 0.476 | Acc: 81.000% 
021  01769 |Loss: 0.474 | Acc: 81.000% 
021  01770 |Loss: 0.473 | Acc: 81.000% 
021  01771 |Loss: 0.474 | Acc: 81.000% 
021  01772 |Loss: 0.473 | Acc: 81.000% 
021  01773 |Loss: 0.471 | Acc: 82.000% 
021  01774 |Loss: 0.468 | Acc: 82.000% 
021  01775 |Loss: 0.467 | Acc: 82.000% 
021  01776 |Loss: 0.469 | Acc: 81.000% 
021  01777 |Loss: 0.467 | Acc: 81.000% 
021  01778 |Loss: 0.469 | Acc: 82.000% 
021  01779 |Loss: 0.469 | Acc: 82.000% 
021  01780 |Loss: 0.469 | Acc: 82.000% 
021  01781 |Loss: 0.465 | Acc: 82.000% 
021  01782 |Loss: 0.465 | Acc: 82.000% 
021  01783 |Loss: 0.465 | Acc: 82.000% 
021  01784 |Loss: 0.468 | Acc: 81.000% 
021  01785 |Loss: 0.469 | Acc: 81.000% 
021  01786 |Loss: 0.470 | Acc: 81.000% 
021  01787 |Loss: 0.470 | Acc: 81.000% 
021  01788 |Loss: 0.470 | Acc: 81.000% 
021  01789 |Loss: 0.469 | Acc: 81.000% 
021  01790 |Loss: 0.473 | Acc: 81.000% 
021  01791 |Loss: 0.473 | Acc: 81.000% 
021  01792 |Loss: 0.474 | Acc: 81.000% 
021  01793 |Loss: 0.474 | Acc: 81.000% 
021  01794 |Loss: 0.474 | Acc: 81.000% 
021  01795 |Loss: 0.473 | Acc: 81.000% 
021  01796 |Loss: 0.472 | Acc: 81.000% 
021  01797 |Loss: 0.472 | Acc: 81.000% 
021  01798 |Loss: 0.471 | Acc: 81.000% 
021  01799 |Loss: 0.471 | Acc: 81.000% 
021  01800 |Loss: 0.473 | Acc: 81.000% 
021  01801 |Loss: 0.473 | Acc: 81.000% 
021  01802 |Loss: 0.473 | Acc: 81.000% 
021  01803 |Loss: 0.470 | Acc: 81.000% 
021  01804 |Loss: 0.470 | Acc: 81.000% 
021  01805 |Loss: 0.470 | Acc: 81.000% 
021  01806 |Loss: 0.470 | Acc: 81.000% 
022  01807 |Loss: 0.371 | Acc: 86.000% 
022  01808 |Loss: 0.382 | Acc: 86.000% 
